income_decile,count,mean,median,std
0,62,7.823233027243252,7.810076473234368,2.3731346507157203
1,61,7.407060530390387,7.513888888888889,1.7266962810410906
2,62,7.456546066979209,7.52994129263014,1.5781492911132968
3,61,7.34427459894098,7.406611570247934,1.4525723488483753
4,62,7.633426646112248,7.7251496787699825,2.106957153397034
5,61,7.197986980273872,7.03100584953533,1.8864933030316027
6,61,7.072821060705023,7.099286468388246,1.8812325645818886
7,62,7.1361118207510295,7.171498352803653,2.0932645901479527
8,61,6.629298009924168,6.8366783524104155,1.6189809358807834
9,62,6.9878796090450885,6.957346577594246,1.4214874928185028
